lagoslakeid,programname,sampledepth_lagos,date,tn_d,no2no3,tkn,tn_censorcode,no2no3_censorcode,tkn_censorcode,tn_c
169,MN_MPCA,1,1991-09-26,0.361,0.01,340,NC3,LE3,NC3,0.35
217,MN_GPR,2,2000-06-06,0.5,0.05,530,NC4,LE2,NC4,0.58
217,MN_GPR,2,2000-08-14,0.88,0.05,880,NC4,LE2,NC4,0.93
217,MN_GPR,2,2000-10-03,0.61,0.05,610,NC4,LE2,NC4,0.66
217,MN_GPR,2,2002-06-17,0.2,0.05,200,NC4,LE2,NC4,0.25
217,MN_GPR,2,2002-10-02,0.6,0.05,600,NC4,LE2,NC4,0.65
217,MN_GPR,2,2004-05-24,1.6,0.05,1600,NC4,LE2,NC4,1.65
217,MN_GPR,2,2004-07-12,1.7,0.05,1700,NC4,LE2,NC4,1.75
217,MN_GPR,2,2004-09-07,0.94,0.05,940,NC4,LE2,NC4,0.99
217,MN_GPR,2,2006-05-15,1,0.05,1000,NC4,LE2,NC4,1.05
217,MN_GPR,2,2006-07-10,0.05,0.05,250,NC4,LE2,NC4,0.3
217,MN_GPR,2,2006-08-15,0.4,0.005,400,NC4,LE2,NC4,0.405
217,MN_GPR,2,2006-09-11,1.14,0.05,1140,NC4,LE2,NC4,1.19
217,MN_GPR,2,2006-10-03,0.7,0.03,700,NC4,LE2,NC4,0.73
217,MN_GPR,2,2008-05-12,1.24,0.05,1240,NC4,LE2,NC4,1.29
217,MN_GPR,2,2008-07-14,0.8,0.05,800,NC4,LE2,NC4,0.85
217,MN_GPR,2,2008-08-11,1.4,0.01,1400,NC4,LE2,NC4,1.41
217,MN_GPR,2,2008-09-08,0.76,0.05,760,NC4,LE2,NC4,0.81
217,MN_GPR,2,2008-10-02,0.6,0.005,600,NC4,LE2,NC4,0.605
217,MN_GPR,2,2010-06-29,1.2,0.005,1200,NC4,LE2,NC4,1.205
217,MN_GPR,2,2010-07-21,0.87,0.05,870,NC4,LE2,NC4,0.92
217,MN_GPR,2,2010-08-23,1,0.005,1000,NC4,LE2,NC4,1.005
217,MN_GPR,2,2010-09-13,2.05,0.05,2050,NC4,LE2,NC4,2.1
217,MN_GPR,2,2010-10-04,0.5,0.005,500,NC4,LE2,NC4,0.505
301,MN_GPR,0,2000-06-07,0.7,0.05,670,NC3,LE1,NC3,0.72
301,MN_GPR,0,2000-08-09,0.97,0.05,970,NC3,LE1,NC3,1.02
301,MN_GPR,0,2000-10-09,0.76,0.05,760,NC3,LE1,NC3,0.81
301,MN_GPR,0,2002-06-11,0.5,0.05,500,NC3,LE1,NC3,0.55
301,MN_GPR,0,2002-08-06,1,0.05,1000,NC3,LE1,NC3,1.05
301,MN_GPR,0,2002-10-01,0.5,0.05,500,NC3,LE1,NC3,0.55
301,MN_GPR,0,2004-05-25,1.3,0.05,1300,NC3,LE1,NC3,1.35
301,MN_GPR,0,2004-07-12,1.4,0.05,1400,NC3,LE1,NC3,1.45
301,MN_GPR,0,2004-09-08,1.5,0.05,1500,NC3,LE1,NC3,1.55
301,MN_GPR,0,2006-05-15,1.9,0.05,1900,NC3,LE1,NC3,1.95
