Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3 method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred _TN_method,reported_TN_method,bias-TN-d,bias-TN-c,TN-d bias %,TN-c bias %,Flag TN-d,Flag TN-c
1,Fall - 2012,(high),116,0.428,0.428,0.442,0.445,colorimetric,0.934,0.889,0.428,0.442,0.934,0.87,-0.064,d,colorimetric,0.045,-0.019,NA,-2.14,,
1,Fall - 2012,(low),115,0.283,0.264,0.224,0.228,colorimetric,0.484,0.463,0.283,0.224,0.484,0.507,0.023,d,colorimetric,0.021,0.044,4.54,9.5,,
1,Fall - 2013,(high),120,0.592,0.54,0.719,0.692,colorimetric,1.24,1.21,0.592,0.719,1.24,1.311,0.071,d,colorimetric,0.03,0.101,2.48,8.35,,
1,Fall - 2013,(low),119,0.31,0.267,0.273,0.271,colorimetric,0.532,0.536,0.31,0.273,0.532,0.583,0.051,d,colorimetric,-0.004,0.047,-0.75,8.77,,
1,Fall - 2014,(high),124,0.169,0.212,0.542,0.556,colorimetric,0.771,0.73,0.169,0.542,0.771,0.711,-0.06,d,colorimetric,0.041,-0.019,5.62,-2.6,,
1,Fall - 2014,(low),123,0.411,0.32,2.58,0.257,colorimetric,5.35,0.555,0.411,2.58,5.35,2.991,-2.359,d,colorimetric,4.795,2.436,863.96,438.92,B,B
1,Fall - 2015,(high),128,0.604,0.518,2.88,3.04,colorimetric,3.55,3.53,0.604,2.88,3.55,3.484,-0.066,d,colorimetric,0.02,-0.046,0.57,-1.3,,
1,Fall - 2015,(low),127,0.268,0.139,0.311,0.302,colorimetric,0.454,0.437,0.268,0.311,0.454,0.579,0.125,d,colorimetric,0.017,0.142,3.89,32.49,,X
1,Fall - 2016,(high),132,0.298,0.317,0.942,0.933,colorimetric,1.28,1.24,0.298,0.942,1.28,1.24,-0.04,d,colorimetric,0.04,0,3.23,0,,
1,Fall - 2016,(low),131,9.40E-02,0.14,0.38,0.362,colorimetric,0.483,0.491,0.094,0.38,0.483,0.474,-0.009,d,colorimetric,-0.008,-0.017,-1.63,-3.46,,
1,Fall - 2017,(high),136,0.426,0.409,0.623,0.639,colorimetric,6.27,1.06,0.426,0.623,1.1,1.049,-0.051,d,colorimetric,0.04,-0.011,3.77,-1.04,,
1,Fall - 2017,(low),135,0.171,0.18,0.431,0.436,colorimetric,1.1,0.616,0.171,0.431,1.1,0.602,-0.498,d,colorimetric,0.484,-0.014,78.57,-2.27,X,
1,Fall - 2018,(high),140,0.486,0.486,0.642,0.663,colorimetric,1.13,1.14,0.486,0.642,1.13,1.128,-0.002,d,colorimetric,-0.01,-0.012,-0.88,-1.05,,
1,Fall - 2018,(low),139,0.111,0.111,0.201,0.2,colorimetric,0.313,0.307,0.111,0.201,0.313,0.312,-0.001,d,colorimetric,0.006,0.005,1.95,1.63,,
1,Spring - 2012,(high),114,1.09,1.03,1.08,1.13,colorimetric,2.26,2.15,1.09,1.08,2.26,2.17,-0.09,d,colorimetric,0.11,0.02,5.12,0.93,,
1,Spring - 2012,(low),113,0.266,0.258,0.101,0.107,colorimetric,0.353,0.349,0.266,0.101,0.353,0.367,0.014,d,colorimetric,0.004,0.018,1.15,5.16,,
1,Spring - 2013,(high),118,1.01,0.93,0.586,0.59,colorimetric,1.51,1.48,1.01,0.586,1.51,1.596,0.086,d,colorimetric,0.03,0.116,2.03,7.84,,
1,Spring - 2013,(low),117,0.328,0.44,0.213,0.22,colorimetric,0.571,0.641,0.328,0.213,0.571,0.541,-0.03,d,colorimetric,-0.07,-0.1,-10.92,-15.6,,
1,Spring - 2014,(high),122,0.626,0.59,1.11,1.1,colorimetric,1.69,1.7,0.626,1.11,1.69,1.736,0.046,d,colorimetric,-0.01,0.036,-0.59,2.12,,
1,Spring - 2014,(low),121,0.127,0.139,0.42,0.418,colorimetric,0.556,0.555,0.127,0.42,0.556,0.547,-0.009,d,colorimetric,0.001,-0.008,0.18,-1.44,,
1,Spring - 2015,(high),126,0.407,0.392,1.44,1.48,colorimetric,1.89,1.86,0.407,1.44,1.89,1.847,-0.043,d,colorimetric,0.03,-0.013,1.61,-0.7,,
1,Spring - 2015,(low),125,0.144,0.162,0.292,0.307,colorimetric,0.463,0.464,0.144,0.292,0.463,0.436,-0.027,d,colorimetric,-0.001,-0.028,-0.22,-6.03,,
1,Spring - 2016,(high),130,0.557,0.547,1.81,1.81,colorimetric,2.47,2.32,0.557,1.81,2.47,2.367,-0.103,d,colorimetric,0.15,0.047,6.47,2.03,,
1,Spring - 2016,(low),129,0.214,0.24,0.256,0.267,colorimetric,0.494,0.48,0.214,0.256,0.494,0.47,-0.024,d,colorimetric,0.014,-0.01,2.92,-2.08,,
1,Spring - 2017,(high),134,0.191,0.196,0.782,0.801,colorimetric,0.97,0.98,0.191,0.782,0.97,0.973,0.003,d,colorimetric,-0.01,-0.007,-1.02,-0.71,,
1,Spring - 2017,(low),133,0.131,0.134,0.096,0.09,colorimetric,0.215,0.199,0.131,0.096,0.215,0.227,0.012,d,colorimetric,0.016,0.028,8.04,14.07,,
