,Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3.method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred._TN_method,reported_TN_method,bias.TN.d,bias.TN.c,TN.d.bias..,TN.c.bias..,Flag.TN.d,Flag.TN.c,TN_rep_ind,TN_estimate2,bias2,bias2_trim2,typemethod
1,1,Fall - 2012,(high),116,0.428,0.428,0.442,0.445,colorimetric,0.934,0.889,0.428,0.442,0.934,0.87,-0.064,d,colorimetric,0.045,-0.019,NA,-2.14,,,0,0.934,0.045,0.045,d (high)
2,1,Fall - 2012,(low),115,0.283,0.264,0.224,0.228,colorimetric,0.484,0.463,0.283,0.224,0.484,0.507,0.023,d,colorimetric,0.021,0.044,4.54,9.5,,,0,0.484,0.021,0.021,d (low)
3,1,Fall - 2013,(high),120,0.592,0.54,0.719,0.692,colorimetric,1.24,1.21,0.592,0.719,1.24,1.311,0.071,d,colorimetric,0.03,0.101,2.48,8.35,,,0,1.24,0.03,0.03,d (high)
4,1,Fall - 2013,(low),119,0.31,0.267,0.273,0.271,colorimetric,0.532,0.536,0.31,0.273,0.532,0.583,0.051,d,colorimetric,-0.004,0.047,-0.75,8.77,,,0,0.532,-0.004,-0.004,d (low)
5,1,Fall - 2014,(high),124,0.169,0.212,0.542,0.556,colorimetric,0.771,0.73,0.169,0.542,0.771,0.711,-0.06,d,colorimetric,0.041,-0.019,5.62,-2.6,,,0,0.771,0.041,0.041,d (high)
6,1,Fall - 2015,(high),128,0.604,0.518,2.88,3.04,colorimetric,3.55,3.53,0.604,2.88,3.55,3.484,-0.066,d,colorimetric,0.02,-0.046,0.57,-1.3,,,0,3.55,0.02,0.02,d (high)
7,1,Fall - 2015,(low),127,0.268,0.139,0.311,0.302,colorimetric,0.454,0.437,0.268,0.311,0.454,0.579,0.125,d,colorimetric,0.017,0.142,3.89,32.49,,X,0,0.454,0.017,0.017,d (low)
8,1,Fall - 2016,(high),132,0.298,0.317,0.942,0.933,colorimetric,1.28,1.24,0.298,0.942,1.28,1.24,-0.04,d,colorimetric,0.04,0,3.23,0,,,0,1.28,0.04,0.04,d (high)
9,1,Fall - 2016,(low),131,0.094,0.14,0.38,0.362,colorimetric,0.483,0.491,0.094,0.38,0.483,0.474,-0.009,d,colorimetric,-0.008,-0.017,-1.63,-3.46,,,0,0.483,-0.008,-0.008,d (low)
10,1,Fall - 2017,(high),136,0.426,0.409,0.623,0.639,colorimetric,6.27,1.06,0.426,0.623,1.1,1.049,-0.051,d,colorimetric,0.04,-0.011,3.77,-1.04,,,0,1.1,0.04,0.04,d (high)
11,1,Fall - 2018,(high),140,0.486,0.486,0.642,0.663,colorimetric,1.13,1.14,0.486,0.642,1.13,1.128,-0.002,d,colorimetric,-0.01,-0.012,-0.88,-1.05,,,0,1.13,-0.01,-0.01,d (high)
12,1,Fall - 2018,(low),139,0.111,0.111,0.201,0.2,colorimetric,0.313,0.307,0.111,0.201,0.313,0.312,-0.001,d,colorimetric,0.006,0.005,1.95,1.63,,,0,0.313,0.006,0.006,d (low)
14,1,Spring - 2012,(low),113,0.266,0.258,0.101,0.107,colorimetric,0.353,0.349,0.266,0.101,0.353,0.367,0.014,d,colorimetric,0.004,0.018,1.15,5.16,,,0,0.353,0.004,0.004,d (low)
15,1,Spring - 2013,(high),118,1.01,0.93,0.586,0.59,colorimetric,1.51,1.48,1.01,0.586,1.51,1.596,0.086,d,colorimetric,0.03,0.116,2.03,7.84,,,0,1.51,0.03,0.03,d (high)
17,1,Spring - 2014,(high),122,0.626,0.59,1.11,1.1,colorimetric,1.69,1.7,0.626,1.11,1.69,1.736,0.046,d,colorimetric,-0.01,0.036,-0.59,2.12,,,0,1.69,-0.01,-0.01,d (high)
18,1,Spring - 2014,(low),121,0.127,0.139,0.42,0.418,colorimetric,0.556,0.555,0.127,0.42,0.556,0.547,-0.009,d,colorimetric,0.001,-0.008,0.18,-1.44,,,0,0.556,0.001,0.001,d (low)
19,1,Spring - 2015,(high),126,0.407,0.392,1.44,1.48,colorimetric,1.89,1.86,0.407,1.44,1.89,1.847,-0.043,d,colorimetric,0.03,-0.013,1.61,-0.7,,,0,1.89,0.03,0.03,d (high)
